N,P,K,temperature,humidity,ph,rainfall,season,district,soil_type,crop_price,water_availability,crop
13,44,45,33.86,23.48,4.83,144.07,Rabi,Jamshedpur,Sandy,2000,Low,wheat
113,111,74,20.39,55.86,5.88,51.05,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
134,83,16,20.51,88.91,4.72,77.24,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
65,79,88,18.0,54.82,6.22,56.17,Kharif,Hazaribagh,Clayey,1700,High,maize
128,95,23,24.93,71.94,6.24,148.73,Kharif,Ranchi,Sandy,3500,Low,cotton
109,108,186,31.0,40.27,6.12,290.54,Rabi,Dhanbad,Loamy,1500,Low,millet
117,97,27,25.92,27.41,6.24,132.13,Rabi,Ranchi,Loamy,2100,Low,chickpea
79,91,61,23.33,31.77,6.54,51.93,Rabi,Hazaribagh,Sandy,1600,Medium,barley
89,94,191,38.96,65.18,5.09,48.79,Kharif,Bokaro,Sandy,3500,Low,cotton
44,44,199,33.98,25.27,8.31,195.83,Kharif,Jamshedpur,Sandy,3500,Low,cotton
114,87,165,22.9,50.78,6.38,196.79,Rabi,Bokaro,Loamy,2100,Low,chickpea
14,95,134,16.85,52.32,4.65,123.25,Rabi,Bokaro,Loamy,2100,Low,chickpea
23,134,103,26.57,58.8,7.67,270.85,Rabi,Jamshedpur,Sandy,2000,Low,wheat
48,87,159,26.89,30.56,4.75,48.98,Rabi,Bokaro,Loamy,2100,Low,chickpea
129,49,15,21.19,50.64,6.26,166.37,Rabi,Dhanbad,Sandy,2000,Low,wheat
95,77,104,25.22,43.69,6.89,240.98,Rabi,Bokaro,Loamy,1500,Low,millet
84,29,147,31.96,39.89,7.39,203.84,Rabi,Hazaribagh,Sandy,2000,Low,wheat
85,25,154,31.59,84.17,5.74,203.7,Kharif,Jamshedpur,Clayey,1700,High,maize
21,84,148,24.42,75.42,7.75,207.63,Kharif,Hazaribagh,Clayey,1700,High,maize
108,135,97,15.46,41.62,8.3,115.69,Rabi,Jamshedpur,Sandy,2000,Low,wheat
57,40,44,16.93,79.11,4.9,235.84,Kharif,Hazaribagh,Sandy,3500,Low,cotton
86,38,157,24.42,31.36,7.83,235.91,Kharif,Dhanbad,Loamy,1800,Medium,rice
11,110,98,31.91,36.63,6.28,99.78,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
136,66,84,39.14,74.91,8.12,74.32,Kharif,Hazaribagh,Sandy,3500,Low,cotton
118,77,204,24.55,56.92,8.37,248.73,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
64,18,169,27.01,45.98,8.24,219.19,Kharif,Hazaribagh,Clayey,1700,High,maize
72,26,200,19.01,51.45,6.55,252.69,Rabi,Ranchi,Sandy,2000,Low,wheat
115,94,11,25.37,47.75,6.0,128.13,Kharif,Ranchi,Sandy,3500,Low,cotton
57,12,86,38.27,78.74,7.1,241.59,Rabi,Dhanbad,Loamy,1500,Low,millet
73,125,183,35.78,73.12,6.38,192.3,Kharif,Ranchi,Loamy,1800,Medium,rice
65,60,43,28.72,70.91,6.61,51.13,Kharif,Bokaro,Loamy,1800,Medium,rice
77,36,17,20.96,64.73,6.99,37.59,Kharif,Jamshedpur,Sandy,3500,Low,cotton
137,9,166,27.88,36.94,5.07,140.19,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
61,111,52,31.61,25.99,8.4,38.95,Rabi,Hazaribagh,Loamy,1500,Low,millet
129,134,146,15.51,81.13,4.67,128.33,Rabi,Bokaro,Loamy,1900,Low,lentil
4,96,22,23.62,71.31,7.01,236.02,Zaid,Bokaro,Clayey,3000,High,sugarcane
11,95,144,23.46,65.0,7.82,211.71,Kharif,Jamshedpur,Clayey,1700,High,maize
34,21,188,34.4,52.04,5.67,32.27,Kharif,Dhanbad,Clayey,1700,High,maize
80,84,136,24.96,77.08,6.39,30.25,Kharif,Dhanbad,Loamy,1800,Medium,rice
91,17,172,23.3,28.71,5.97,269.06,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
86,52,132,32.3,45.71,7.69,94.68,Rabi,Ranchi,Sandy,1600,Medium,barley
20,115,159,39.88,32.63,5.68,48.73,Rabi,Bokaro,Sandy,1600,Medium,barley
78,119,159,32.94,31.67,6.28,145.2,Zaid,Bokaro,Clayey,3000,High,sugarcane
111,75,168,39.5,86.35,4.8,198.5,Rabi,Bokaro,Loamy,2100,Low,chickpea
40,12,41,36.22,67.47,6.25,55.34,Rabi,Dhanbad,Loamy,1900,Low,lentil
92,103,150,15.81,30.74,6.3,123.87,Rabi,Jamshedpur,Loamy,1500,Low,millet
35,140,98,24.95,65.47,5.5,51.77,Rabi,Dhanbad,Sandy,2000,Low,wheat
132,104,148,17.94,74.25,7.32,80.08,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
125,56,36,18.39,25.18,5.19,219.74,Zaid,Ranchi,Clayey,3000,High,sugarcane
88,21,145,28.55,82.39,7.91,219.31,Rabi,Dhanbad,Loamy,1500,Low,millet
130,62,36,39.63,75.44,5.45,158.33,Rabi,Bokaro,Loamy,1500,Low,millet
94,124,146,18.24,81.9,4.76,131.48,Rabi,Jamshedpur,Loamy,1900,Low,lentil
105,109,152,16.84,88.07,7.07,145.99,Rabi,Hazaribagh,Loamy,1900,Low,lentil
32,51,201,39.16,50.28,8.14,35.52,Rabi,Ranchi,Loamy,1500,Low,millet
39,82,47,19.05,85.43,5.4,285.3,Rabi,Hazaribagh,Loamy,1900,Low,lentil
20,69,55,30.88,58.56,5.0,104.79,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
128,48,156,38.54,30.79,7.13,221.78,Rabi,Hazaribagh,Sandy,2000,Low,wheat
10,12,25,16.14,64.9,6.81,202.32,Rabi,Hazaribagh,Loamy,1500,Low,millet
7,132,165,28.64,64.93,5.71,88.57,Rabi,Jamshedpur,Sandy,1600,Medium,barley
116,23,181,16.5,50.77,6.44,77.13,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
80,86,192,39.7,44.18,6.09,232.99,Kharif,Hazaribagh,Clayey,1700,High,maize
27,86,66,26.66,38.72,5.49,47.11,Rabi,Bokaro,Loamy,1900,Low,lentil
107,68,45,35.34,85.36,7.38,73.15,Rabi,Dhanbad,Sandy,1600,Medium,barley
131,124,132,36.98,54.82,4.86,130.11,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
55,95,17,16.26,54.64,8.03,203.19,Kharif,Jamshedpur,Sandy,3500,Low,cotton
137,7,32,25.77,81.77,7.41,233.88,Zaid,Bokaro,Clayey,3000,High,sugarcane
102,18,150,29.05,45.38,5.65,128.18,Kharif,Jamshedpur,Loamy,1800,Medium,rice
71,35,37,39.38,47.57,7.68,114.94,Rabi,Bokaro,Loamy,1900,Low,lentil
50,135,107,27.5,23.17,5.05,113.25,Kharif,Jamshedpur,Clayey,1700,High,maize
116,43,160,37.33,29.78,8.23,109.19,Rabi,Jamshedpur,Loamy,1900,Low,lentil
76,91,134,35.71,57.26,7.33,103.94,Rabi,Ranchi,Loamy,2100,Low,chickpea
84,33,111,29.59,75.77,7.4,212.65,Rabi,Ranchi,Loamy,1500,Low,millet
121,72,172,34.57,74.33,6.81,221.99,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
43,139,166,33.03,74.22,6.02,250.07,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
28,53,9,26.03,49.31,6.15,77.09,Kharif,Hazaribagh,Loamy,1800,Medium,rice
120,20,185,18.45,34.51,5.8,205.42,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
80,49,122,37.8,43.96,5.92,236.16,Rabi,Bokaro,Sandy,1600,Medium,barley
123,54,68,21.98,40.89,8.27,295.03,Rabi,Bokaro,Loamy,2100,Low,chickpea
125,86,127,23.72,85.36,7.68,96.57,Kharif,Ranchi,Sandy,3500,Low,cotton
139,102,106,35.46,86.82,7.72,101.33,Rabi,Bokaro,Loamy,2100,Low,chickpea
88,118,172,21.41,53.54,5.31,170.8,Rabi,Hazaribagh,Sandy,2000,Low,wheat
35,32,162,33.52,36.75,4.7,273.45,Zaid,Dhanbad,Clayey,3000,High,sugarcane
13,30,110,23.26,53.07,7.22,58.49,Kharif,Hazaribagh,Sandy,3500,Low,cotton
104,126,127,31.26,72.91,5.65,99.92,Kharif,Ranchi,Clayey,1700,High,maize
59,141,194,33.08,85.57,8.15,69.02,Rabi,Dhanbad,Sandy,2000,Low,wheat
101,131,52,38.42,87.35,8.2,265.49,Kharif,Ranchi,Loamy,1800,Medium,rice
27,90,77,26.36,64.89,6.6,268.99,Zaid,Dhanbad,Clayey,3000,High,sugarcane
119,74,54,35.22,43.15,7.42,201.52,Rabi,Dhanbad,Loamy,1900,Low,lentil
86,80,150,31.86,33.52,6.94,198.84,Kharif,Jamshedpur,Loamy,1800,Medium,rice
131,88,27,25.02,26.68,8.43,153.69,Rabi,Dhanbad,Sandy,1600,Medium,barley
66,103,65,26.17,38.69,5.82,183.09,Kharif,Hazaribagh,Loamy,1800,Medium,rice
66,97,182,20.91,66.75,6.36,64.72,Kharif,Hazaribagh,Loamy,1800,Medium,rice
30,80,99,30.37,35.34,5.03,62.89,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
106,145,125,33.93,76.14,7.8,233.32,Rabi,Hazaribagh,Loamy,1500,Low,millet
134,119,140,32.59,25.47,6.76,37.29,Rabi,Hazaribagh,Sandy,2000,Low,wheat
51,142,43,19.11,79.81,6.27,210.48,Rabi,Hazaribagh,Loamy,1900,Low,lentil
23,135,119,35.22,51.74,6.55,147.9,Kharif,Ranchi,Sandy,2200,Medium,groundnut
118,83,190,15.54,37.81,4.51,81.01,Rabi,Ranchi,Loamy,1900,Low,lentil
108,93,184,16.59,89.59,8.24,39.33,Kharif,Jamshedpur,Loamy,1800,Medium,rice
73,109,51,34.22,73.61,8.41,200.85,Kharif,Jamshedpur,Loamy,1800,Medium,rice
97,119,101,24.39,67.79,7.15,171.0,Rabi,Bokaro,Loamy,1500,Low,millet
45,142,105,28.22,70.95,5.39,20.97,Rabi,Ranchi,Sandy,2000,Low,wheat
118,144,113,28.3,77.64,5.49,116.92,Zaid,Bokaro,Clayey,3000,High,sugarcane
28,13,174,25.48,73.62,8.04,24.38,Kharif,Dhanbad,Sandy,3500,Low,cotton
25,13,119,29.94,69.23,4.69,227.35,Rabi,Jamshedpur,Sandy,2000,Low,wheat
59,143,60,33.86,74.32,5.06,298.18,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
81,87,65,22.54,30.03,7.14,81.89,Rabi,Bokaro,Loamy,2100,Low,chickpea
15,49,165,31.97,58.91,4.69,116.44,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
81,111,109,18.73,46.35,7.52,152.59,Rabi,Dhanbad,Loamy,1900,Low,lentil
36,123,19,29.06,87.75,6.73,57.55,Zaid,Dhanbad,Clayey,3000,High,sugarcane
52,89,170,16.98,51.49,5.98,169.98,Zaid,Dhanbad,Clayey,3000,High,sugarcane
68,101,177,30.12,22.77,4.79,245.3,Kharif,Hazaribagh,Loamy,1800,Medium,rice
55,127,58,36.74,43.31,8.33,24.29,Rabi,Dhanbad,Loamy,1900,Low,lentil
122,67,183,30.11,34.32,8.16,174.58,Rabi,Bokaro,Sandy,2000,Low,wheat
119,141,171,23.98,38.31,6.55,159.24,Rabi,Ranchi,Sandy,1600,Medium,barley
81,57,99,22.82,23.2,7.96,227.55,Kharif,Ranchi,Sandy,2200,Medium,groundnut
106,80,44,19.9,36.1,6.78,88.8,Zaid,Hazaribagh,Clayey,3000,High,sugarcane
65,130,190,31.04,54.34,5.17,242.59,Rabi,Dhanbad,Loamy,1500,Low,millet
139,130,52,37.92,57.95,7.07,36.44,Kharif,Ranchi,Clayey,1700,High,maize
12,6,110,18.44,64.15,4.77,62.29,Rabi,Dhanbad,Sandy,2000,Low,wheat
116,100,20,30.45,66.67,6.97,155.3,Rabi,Jamshedpur,Loamy,1900,Low,lentil
1,141,146,25.28,21.17,7.39,170.01,Kharif,Bokaro,Loamy,1800,Medium,rice
128,115,50,17.68,26.74,5.1,73.74,Kharif,Hazaribagh,Loamy,1800,Medium,rice
90,73,106,16.98,87.15,6.34,88.1,Zaid,Dhanbad,Clayey,3000,High,sugarcane
20,13,28,25.13,46.4,6.4,198.29,Zaid,Dhanbad,Clayey,3000,High,sugarcane
127,116,170,34.61,59.61,7.93,46.7,Rabi,Hazaribagh,Sandy,2000,Low,wheat
58,59,182,37.19,53.29,4.69,40.82,Kharif,Bokaro,Loamy,1800,Medium,rice
8,50,85,15.39,34.5,5.08,249.79,Rabi,Jamshedpur,Loamy,1900,Low,lentil
76,46,149,21.01,78.43,6.06,271.03,Rabi,Bokaro,Sandy,2000,Low,wheat
35,25,133,33.64,44.21,4.89,85.0,Rabi,Ranchi,Sandy,1600,Medium,barley
101,88,12,30.85,74.85,6.3,83.88,Rabi,Hazaribagh,Loamy,1500,Low,millet
110,52,179,29.65,46.61,7.59,102.71,Rabi,Dhanbad,Sandy,1600,Medium,barley
21,73,44,24.5,74.87,5.12,129.09,Rabi,Bokaro,Sandy,2000,Low,wheat
23,6,83,26.12,73.29,4.91,44.44,Rabi,Jamshedpur,Sandy,2000,Low,wheat
131,109,31,15.66,44.77,4.87,187.45,Kharif,Bokaro,Sandy,2200,Medium,groundnut
3,79,110,24.69,25.93,8.1,273.46,Rabi,Dhanbad,Sandy,1600,Medium,barley
133,48,180,24.52,29.72,5.7,158.07,Rabi,Ranchi,Loamy,2100,Low,chickpea
111,75,112,22.49,74.79,5.94,284.38,Kharif,Jamshedpur,Clayey,1700,High,maize
50,122,32,18.39,20.47,6.08,255.65,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
112,90,115,35.39,80.17,8.4,58.11,Rabi,Bokaro,Loamy,1500,Low,millet
51,127,85,19.44,47.88,5.78,225.76,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
62,88,101,22.01,75.01,5.96,280.98,Rabi,Dhanbad,Loamy,2100,Low,chickpea
