N,P,K,temperature,humidity,ph,rainfall,season,district,soil_type,crop_price,water_availability,crop,fertilizer_used,soil_moisture,sunlight_hours,previous_crop
97.0,127.0,6.0,38.57,40.9,6.06,269.66,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,DAP,31.44,5.5,barley
139.0,61.0,129.0,20.49,50.51,4.62,114.12,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,DAP,22.19,8.5,barley
119.0,37.0,164.0,28.35,83.49,6.87,205.64,Kharif,Ranchi,Clayey,1700.0,4.0,maize,Organic,48.32,6.8,wheat
34.0,123.0,51.0,16.26,46.54,5.35,111.52,Rabi,Jamshedpur,Sandy,1600.0,4.0,barley,None,53.89,9.1,rice
107.0,69.0,25.0,26.76,72.43,4.71,286.54,Zaid,Dhanbad,Clayey,3000.0,4.0,sugarcane,DAP,23.94,8.4,maize
10.0,12.0,68.0,19.98,21.43,5.11,55.34,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,DAP,66.53,8.7,wheat
55.0,124.0,184.0,21.41,45.82,6.92,289.85,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Organic,47.2,7.9,chickpea
79.0,32.0,153.0,15.64,41.84,7.21,288.29,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,DAP,51.46,5.1,millet
19.0,67.0,31.0,32.43,41.11,7.24,245.55,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,DAP,46.45,7.3,millet
88.0,141.0,114.0,31.54,24.83,7.09,23.54,Kharif,Jamshedpur,Loamy,1800.0,4.0,rice,Organic,44.05,9.9,cotton
27.0,115.0,97.0,30.89,78.01,7.33,141.94,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Organic,53.58,9.6,chickpea
137.0,128.0,124.0,25.89,71.17,5.57,258.48,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,Urea,29.31,4.3,millet
115.0,67.0,197.0,26.62,62.72,6.02,28.04,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,None,30.92,5.0,wheat
124.0,59.0,95.0,34.95,43.82,8.02,216.33,Kharif,Bokaro,Clayey,1700.0,4.0,maize,None,71.71,4.8,chickpea
2.0,137.0,53.0,17.14,70.41,6.45,232.29,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,DAP,76.77,8.4,wheat
114.0,9.0,28.0,22.36,48.31,5.47,205.91,Kharif,Bokaro,Sandy,2200.0,4.0,groundnut,None,42.4,8.9,maize
135.0,93.0,113.0,39.92,58.53,5.91,147.05,Kharif,Bokaro,Sandy,2200.0,4.0,groundnut,DAP,36.24,5.3,maize
59.0,35.0,189.0,19.81,28.37,6.64,233.41,Zaid,Dhanbad,Clayey,3000.0,4.0,sugarcane,Urea,58.64,7.0,millet
55.0,128.0,75.0,33.11,88.36,6.6,99.24,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Organic,44.52,9.0,millet
75.0,63.0,97.0,19.49,20.99,6.64,96.81,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Organic,21.52,8.4,rice
74.0,37.0,168.0,36.71,54.36,7.99,180.74,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,Organic,29.37,7.3,maize
112.0,92.0,52.0,39.14,37.67,7.95,51.94,Kharif,Ranchi,Sandy,2200.0,4.0,groundnut,None,62.96,7.5,sugarcane
125.0,23.0,152.0,30.74,23.75,5.1,177.6,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Urea,59.54,7.1,sugarcane
63.0,35.0,147.0,34.11,62.44,7.66,83.19,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,None,21.63,5.8,cotton
115.0,118.0,81.0,36.5,89.3,5.72,193.89,Rabi,Hazaribagh,Sandy,1600.0,4.0,barley,None,33.32,7.4,maize
53.0,59.0,72.0,31.51,30.99,5.2,41.02,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,Urea,33.86,8.1,wheat
115.0,125.0,79.0,15.82,40.17,5.63,260.69,Rabi,Ranchi,Sandy,1600.0,4.0,barley,Urea,60.31,9.2,wheat
67.0,55.0,113.0,17.87,35.74,5.1,94.38,Kharif,Dhanbad,Sandy,3500.0,4.0,cotton,Urea,21.18,7.8,lentil
15.0,47.0,83.0,29.88,77.7,8.18,142.96,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Urea,26.25,8.6,chickpea
103.0,74.0,133.0,28.5,50.64,6.89,269.04,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,Organic,67.99,5.0,groundnut
64.0,11.0,28.0,20.72,67.2,7.94,184.39,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Compost,30.71,6.8,sugarcane
10.0,49.0,125.0,27.97,50.96,5.61,299.14,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,Compost,59.16,4.1,millet
23.0,125.0,94.0,25.21,42.47,4.92,65.03,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,Urea,34.29,5.5,cotton
73.0,107.0,199.0,28.75,51.84,5.76,110.52,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,Compost,25.97,8.4,groundnut
0.0,143.0,123.0,25.33,33.13,5.95,231.8,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,Compost,34.59,10.0,barley
52.0,73.0,145.0,18.28,40.16,8.02,155.72,Kharif,Ranchi,Loamy,1800.0,4.0,rice,Urea,63.34,4.6,cotton
61.0,45.0,84.0,28.77,58.66,4.87,297.83,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Compost,71.34,6.4,barley
30.0,44.0,132.0,38.32,40.43,7.32,136.34,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,None,69.81,8.8,maize
62.0,121.0,146.0,18.62,33.34,6.9,228.96,Kharif,Dhanbad,Sandy,2200.0,4.0,groundnut,DAP,43.83,5.2,barley
70.0,111.0,92.0,38.36,55.54,7.78,99.19,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,DAP,60.09,7.3,barley
125.0,43.0,119.0,28.46,44.16,6.71,172.16,Rabi,Jamshedpur,Loamy,2100.0,4.0,chickpea,Urea,32.3,8.4,rice
48.0,66.0,151.0,24.57,79.92,6.14,109.09,Rabi,Jamshedpur,Loamy,1500.0,4.0,millet,Organic,37.59,7.7,rice
98.0,43.0,131.0,39.12,28.84,8.36,112.96,Rabi,Ranchi,Sandy,1600.0,4.0,barley,Urea,73.78,5.1,rice
25.0,139.0,121.0,15.38,30.09,7.98,291.59,Kharif,Ranchi,Sandy,2200.0,4.0,groundnut,Organic,20.78,6.1,maize
67.0,91.0,164.0,32.32,65.49,7.91,258.66,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,DAP,25.13,8.7,groundnut
81.0,129.0,143.0,15.9,24.79,7.02,277.86,Rabi,Dhanbad,Sandy,1600.0,4.0,barley,Urea,32.47,7.3,cotton
111.0,30.0,199.0,30.84,81.08,6.27,214.32,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,None,21.59,4.0,cotton
83.0,19.0,80.0,23.96,50.15,5.48,135.37,Kharif,Dhanbad,Loamy,1800.0,4.0,rice,Compost,30.89,8.6,millet
44.0,25.0,161.0,36.77,63.38,5.46,275.59,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,Organic,54.98,4.2,rice
118.0,70.0,122.0,21.38,20.66,7.72,272.34,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Compost,45.29,8.5,maize
18.0,118.0,93.0,39.69,40.94,8.35,213.29,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,Compost,73.56,5.2,millet
50.0,103.0,128.0,17.67,46.7,5.94,102.84,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,Urea,69.05,9.7,chickpea
101.0,75.0,7.0,29.15,68.01,7.48,33.73,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Compost,40.51,6.2,millet
73.0,63.0,160.0,35.05,35.33,5.26,90.18,Kharif,Dhanbad,Sandy,2200.0,4.0,groundnut,None,35.57,6.0,groundnut
10.0,84.0,117.0,15.83,45.54,5.03,274.7,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,Compost,42.78,4.9,sugarcane
44.0,56.0,38.0,34.66,81.35,5.96,160.5,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Urea,55.42,5.8,barley
65.0,128.0,80.0,33.66,43.71,4.96,289.61,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,None,36.08,9.3,rice
101.0,98.0,28.0,34.77,20.97,6.65,147.34,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,DAP,57.45,10.0,sugarcane
97.0,100.0,32.0,31.87,53.0,6.98,284.09,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,Compost,44.56,6.2,millet
56.0,21.0,167.0,35.6,83.66,5.71,134.32,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,Urea,53.12,6.7,maize
9.0,82.0,131.0,17.9,36.44,6.65,128.82,Kharif,Bokaro,Loamy,1800.0,4.0,rice,DAP,46.17,8.3,barley
107.0,44.0,111.0,31.37,78.36,6.96,282.93,Rabi,Bokaro,Loamy,1900.0,4.0,lentil,DAP,37.67,9.3,cotton
94.0,60.0,118.0,26.12,36.53,5.95,294.66,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Organic,76.91,7.6,wheat
91.0,20.0,106.0,21.9,87.77,8.3,250.77,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,None,65.82,6.3,barley
5.0,17.0,90.0,21.09,28.81,6.76,39.21,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Compost,28.41,6.5,groundnut
55.0,64.0,89.0,34.36,75.21,6.88,97.64,Kharif,Dhanbad,Sandy,3500.0,4.0,cotton,Urea,72.11,8.2,groundnut
138.0,69.0,49.0,17.75,80.65,5.03,120.31,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,Organic,49.25,4.0,millet
82.0,9.0,49.0,21.63,28.87,6.18,51.82,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,None,73.67,7.7,chickpea
114.0,97.0,136.0,29.84,51.64,5.39,192.23,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Organic,67.99,6.1,groundnut
117.0,12.0,20.0,39.96,79.31,6.21,50.23,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,None,45.51,8.8,groundnut
20.0,87.0,160.0,18.71,28.83,7.0,183.9,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,None,21.35,4.6,maize
135.0,80.0,121.0,27.64,50.11,7.67,52.04,Rabi,Hazaribagh,Sandy,1600.0,4.0,barley,Compost,36.12,7.5,millet
110.0,120.0,63.0,25.35,77.92,6.09,224.29,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,None,52.5,6.9,barley
80.0,70.0,100.0,38.84,68.08,6.4,45.54,Rabi,Ranchi,Sandy,1600.0,4.0,barley,Organic,58.01,7.9,chickpea
110.0,29.0,195.0,33.47,76.82,6.73,184.21,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,None,35.47,4.4,sugarcane
84.0,36.0,110.0,23.84,66.57,7.5,263.07,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,Compost,28.36,7.5,wheat
79.0,95.0,31.0,29.45,34.89,7.13,82.79,Zaid,Ranchi,Clayey,3000.0,4.0,sugarcane,Compost,70.1,7.4,rice
94.0,34.0,200.0,21.96,35.83,6.22,177.07,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,Organic,79.06,7.4,cotton
6.0,73.0,12.0,19.51,69.19,5.74,115.15,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,DAP,51.54,7.6,groundnut
36.0,107.0,22.0,18.55,64.32,4.62,228.91,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,DAP,30.3,8.1,millet
107.0,121.0,92.0,18.94,41.81,5.8,283.59,Rabi,Hazaribagh,Sandy,1600.0,4.0,barley,None,36.34,8.8,rice
13.0,44.0,45.0,33.86,23.48,4.83,144.07,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Urea,21.1,5.6,cotton
113.0,111.0,74.0,20.39,55.86,5.88,51.05,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,None,74.86,9.0,cotton
134.0,83.0,16.0,20.51,88.91,4.72,77.24,Kharif,Dhanbad,Sandy,2200.0,4.0,groundnut,Organic,27.07,7.0,sugarcane
65.0,79.0,88.0,18.0,54.82,6.22,56.17,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Organic,54.59,4.5,sugarcane
128.0,95.0,23.0,24.93,71.94,6.24,148.73,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Organic,36.44,4.4,sugarcane
109.0,108.0,186.0,31.0,40.27,6.12,290.54,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,Organic,53.25,6.0,lentil
117.0,97.0,27.0,25.92,27.41,6.24,132.13,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Organic,59.09,8.7,lentil
79.0,91.0,61.0,23.33,31.77,6.54,51.93,Rabi,Hazaribagh,Sandy,1600.0,4.0,barley,Compost,69.78,8.2,cotton
89.0,94.0,191.0,38.96,65.18,5.09,48.79,Kharif,Bokaro,Sandy,3500.0,4.0,cotton,DAP,32.39,8.7,sugarcane
44.0,44.0,199.0,33.98,25.27,8.31,195.83,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Organic,20.66,7.1,maize
114.0,87.0,165.0,22.9,50.78,6.38,196.79,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,Urea,28.21,6.6,groundnut
14.0,95.0,134.0,16.85,52.32,4.65,123.25,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,Urea,74.0,4.9,rice
23.0,134.0,103.0,26.57,58.8,7.67,270.85,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Urea,72.43,6.0,rice
48.0,87.0,159.0,26.89,30.56,4.75,48.98,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,Urea,55.84,6.6,lentil
129.0,49.0,15.0,21.19,50.64,6.26,166.37,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,Compost,56.03,4.5,cotton
95.0,77.0,104.0,25.22,43.69,6.89,240.98,Rabi,Bokaro,Loamy,1500.0,4.0,millet,Urea,59.9,5.3,millet
84.0,29.0,147.0,31.96,39.89,7.39,203.84,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,Organic,30.52,7.6,barley
85.0,25.0,154.0,31.59,84.17,5.74,203.7,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,None,74.86,8.4,barley
21.0,84.0,148.0,24.42,75.42,7.75,207.63,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Urea,45.13,10.0,lentil
108.0,135.0,97.0,15.46,41.62,8.3,115.69,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Compost,42.99,9.6,millet
57.0,40.0,44.0,16.93,79.11,4.9,235.84,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Compost,51.14,7.9,lentil
86.0,38.0,157.0,24.42,31.36,7.83,235.91,Kharif,Dhanbad,Loamy,1800.0,4.0,rice,Urea,22.82,6.5,barley
11.0,110.0,98.0,31.91,36.63,6.28,99.78,Kharif,Jamshedpur,Sandy,2200.0,4.0,groundnut,None,29.98,7.8,millet
136.0,66.0,84.0,39.14,74.91,8.12,74.32,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Urea,64.28,8.7,sugarcane
118.0,77.0,204.0,24.55,56.92,8.37,248.73,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Compost,24.97,4.7,cotton
64.0,18.0,169.0,27.01,45.98,8.24,219.19,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,DAP,56.19,6.5,rice
72.0,26.0,200.0,19.01,51.45,6.55,252.69,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,Organic,34.72,9.0,maize
115.0,94.0,11.0,25.37,47.75,6.0,128.13,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Compost,43.36,6.3,chickpea
57.0,12.0,86.0,38.27,78.74,7.1,241.59,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,Urea,37.32,7.4,cotton
73.0,125.0,183.0,35.78,73.12,6.38,192.3,Kharif,Ranchi,Loamy,1800.0,4.0,rice,Organic,41.34,7.5,sugarcane
65.0,60.0,43.0,28.72,70.91,6.61,51.13,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Urea,63.14,5.1,barley
77.0,36.0,17.0,20.96,64.73,6.99,37.59,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Urea,37.83,6.2,sugarcane
137.0,9.0,166.0,27.88,36.94,5.07,140.19,Rabi,Hazaribagh,Loamy,2100.0,4.0,chickpea,DAP,53.98,6.0,lentil
61.0,111.0,52.0,31.61,25.99,8.4,38.95,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,Organic,48.56,4.2,millet
129.0,134.0,146.0,15.51,81.13,4.67,128.33,Rabi,Bokaro,Loamy,1900.0,4.0,lentil,Organic,59.82,4.1,rice
4.0,96.0,22.0,23.62,71.31,7.01,236.02,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,DAP,76.21,9.0,groundnut
11.0,95.0,144.0,23.46,65.0,7.82,211.71,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,Compost,63.95,5.6,lentil
34.0,21.0,188.0,34.4,52.04,5.67,32.27,Kharif,Dhanbad,Clayey,1700.0,4.0,maize,Urea,32.9,7.1,cotton
80.0,84.0,136.0,24.96,77.08,6.39,30.25,Kharif,Dhanbad,Loamy,1800.0,4.0,rice,None,21.87,5.8,lentil
91.0,17.0,172.0,23.3,28.71,5.97,269.06,Zaid,Jamshedpur,Clayey,3000.0,4.0,sugarcane,Urea,35.74,9.6,cotton
86.0,52.0,132.0,32.3,45.71,7.69,94.68,Rabi,Ranchi,Sandy,1600.0,4.0,barley,Urea,55.7,5.6,groundnut
20.0,115.0,159.0,39.88,32.63,5.68,48.73,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Compost,23.09,6.6,wheat
78.0,119.0,159.0,32.94,31.67,6.28,145.2,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,Urea,49.78,9.2,rice
111.0,75.0,168.0,39.5,86.35,4.8,198.5,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,DAP,55.81,9.1,maize
40.0,12.0,41.0,36.22,67.47,6.25,55.34,Rabi,Dhanbad,Loamy,1900.0,4.0,lentil,DAP,40.05,5.1,maize
92.0,103.0,150.0,15.81,30.74,6.3,123.87,Rabi,Jamshedpur,Loamy,1500.0,4.0,millet,Organic,66.25,8.8,chickpea
35.0,140.0,98.0,24.95,65.47,5.5,51.77,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,None,26.4,6.7,sugarcane
132.0,104.0,148.0,17.94,74.25,7.32,80.08,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Urea,24.51,6.9,wheat
